name,status,headquarter,industry
Astranis,signed_up,"San Francisco, California, United States","Aerospace, Internet, Telecommunications"
Carbonite,approved,"Boston, Massachusetts, United States","Enterprise Software, SaaS, Web Hosting"
KnowBe4,live,"Clearwater, Florida, United States","Computer, Network Security, Security, Software"
Monaco Technology GmbH,rejected,"Zug, Zug, Switzerland","Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services, Information Technology"
iQiyi,live,"China, Asia","Content, Photography, TV"
Humatics,approved,"Cambridge, Massachusetts, United States","Collaboration, Manufacturing, Robotics"
Split Software,live,"Redwood City, California, United States","Apps, Developer Tools, SaaS, Software"
Zynga,rejected,"San Francisco, California, United States","Gaming, Mobile, PC Games"
Magento Commerce,approved,"Campbell, California, United States","Cloud Computing, E-Commerce, Enterprise Software, Internet, Open Source"
Lazada Group,signed_up,"Singapore, Central Region, Singapore","E-Commerce, Fashion, Internet"
17zuoye,live,"Shanghai, Shanghai, China","Education, Internet, Language Learning"
Ucommune,live,"Beijing, Beijing, China","Business Development, Coworking, Virtual Workforce"
Memorial Sloan - Kettering Cancer Center,approved,"New York, New York, United States","Health Care, Hospital, Life Science"
AccorHotels,rejected,"Paris, Ile-de-France, France","Hospitality, Location Based Services, Tourism, Travel"
Dish Network,signed_up,"Englewood, Colorado, United States","Audio, Consumer Electronics, Telecommunications"
BrewDog,approved,"Aberdeenshire, United Kingdom, Europe","Brewing, Hospitality, Service Industry, Wine And Spirits"
Nintex,pending,"Bellevue, Washington, United States","Cloud Data Services, Information Technology, Software"
Blend,approved,"San Francisco, California, United States","Enterprise, Financial Services, FinTech, Home Services"
Rubius Therapeutics,signed_up,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Therapeutics"
BitPesa,live,"Nairobi, Nairobi Area, Kenya","Financial Services, Payments"
Flexport,approved,"San Francisco, California, United States","Logistics, SaaS, Shipping, Supply Chain Management"
Triplebyte,signed_up,"San Francisco, California, United States","Human Resources, Internet, Recruiting, Software"
Kiddom,live,"San Francisco, California, United States","E-Learning, EdTech, Education"
Honcker,approved,"New York, New York, United States","Automotive, Car Sharing, Marketplace"
Wochit,live,"Yehud, HaMerkaz, Israel","News, Software, Video"
HighRadius,pending,"Houston, Texas, United States",Software
HealthCare.com,live,"Miami, Florida, United States","Digital Entertainment, Digital Media, Health Care, Internet, Medical"
Jive Communications,live,"Orem, Utah, United States","Telecommunications, Video, VoIP"
Peakon,approved,"Copenhagen, Hovedstaden, Denmark","Analytics, Human Resources, Software"
Tongal,pending,"Santa Monica, California, United States","Advertising, Crowdsourcing"
Udacity,pending,"Mountain View, California, United States","E-Learning, EdTech, Education, Internet"
SmartThings,approved,"Palo Alto, California, United States","Automotive, Enterprise Software, Hardware, Internet, Internet of Things, Mobile, Open Source, Small and Medium Businesses, Smart Home"
HCL Technologies,live,"Noida, Uttar Pradesh, India","Aerospace, Consumer Electronics, ICT, IT Management, Media and Entertainment, Outsourcing, Software, Telecommunications"
Wealthfront,signed_up,"Redwood City, California, United States","Finance, Financial Services, FinTech, Personal Finance, Stock Exchanges, Wealth Management"
MoneyOnMobile,rejected,"Mumbai, Maharashtra, India","E-Commerce, Financial Services, Mobile, Mobile Payments"
StatusToday,signed_up,"London, England, United Kingdom","Artificial Intelligence, Human Resources, Intellectual Property, Productivity Tools, Psychology"
Rovio Entertainment,rejected,"Espoo, Southern Finland, Finland","Digital Entertainment, Gaming, Mobile Apps"
Recorded Future,approved,"Somerville, Massachusetts, United States","Analytics, Cyber Security, Machine Learning, Real Time, SaaS"
D-Wave Systems,approved,"Burnaby, British Columbia, Canada","Electronics, Manufacturing, Semiconductor"
Blippar,approved,"London, England, United Kingdom","Advertising, Artificial Intelligence, Augmented Reality, Computer Vision, Education, Image Recognition, Mobile, Wearables"
Cylance,pending,"Irvine, California, United States","Artificial Intelligence, Computer, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing, Security"
MINDBODY,pending,"San Luis Obispo, California, United States","Computer, Innovation Management, Marketing"
Equinix,approved,"Redwood City, California, United States","Cloud Data Services, Data Center, Infrastructure, Internet, Web Hosting"
Icertis,live,"Bellevue, Washington, United States","Cloud Data Services, CRM, Enterprise Software, Procurement, SaaS"
Vivino,live,"Copenhagen, Hovedstaden, Denmark","Android, Communities, Food and Beverage, Image Recognition, iOS, Marketplace, Mobile, Wine And Spirits"
Workday,rejected,"Pleasanton, California, United States","Enterprise Software, Finance, FinTech, Human Resources, SaaS, Web Development"
BAE Systems,rejected,"Rockville, Maryland, United States","Aerospace, Manufacturing, National Security, Navigation"
Airtasker,live,"Sydney, New South Wales, Australia","Apps, E-Commerce, Internet, Mobile, Web Development"
Puls,live,"San Francisco, California, United States","Android, Consumer Electronics, iOS"
Trustpilot,rejected,"Copenhagen, Hovedstaden, Denmark","Consumer Reviews, Internet, Reputation"
ENGAGE,live,"Mount Pleasant, South Carolina, United States","Artificial Intelligence, Predictive Analytics, Recruiting, Software"
Sina Weibo,signed_up,"Haidian, Beijing, China","Blogging Platforms, Computer, Software"
BitPay,signed_up,"Atlanta, Georgia, United States","Bitcoin, Finance, Payments, Peer to Peer"
Gaana,live,"New Delhi, Delhi, India","Music, Music Streaming, Online Portals"
Daimler,signed_up,"Stuttgart, Baden-Wurttemberg, Germany","Automotive, Autonomous Vehicles, Financial Services, Manufacturing"
AppDynamics,approved,"San Francisco, California, United States","Business Intelligence, Information Services, Information Technology"
Alpha,approved,"New York, New York, United States","Enterprise Software, Information Technology, Product Management, Software"
CloudBees,signed_up,"San Jose, California, United States","Cloud Computing, Enterprise Software, Software"
Clarifai,approved,"New York, New York, United States","Artificial Intelligence, Computer Vision, Developer APIs, Enterprise, Image Recognition, Machine Learning, Software, Visual Search"
BBOXX,signed_up,"London, England, United Kingdom","Manufacturing, Product Design, Solar"
LendInvest,approved,"London, England, United Kingdom","Finance, Real Estate"
Duo Security,signed_up,"Ann Arbor, Michigan, United States","Cloud Security, Computer, Cyber Security, Enterprise Software, Network Security"
BigCommerce,pending,"Austin, Texas, United States","Business Development, E-Commerce, Enterprise Software, Retail, SaaS, Software"
BlackBerry,pending,"Waterloo, Ontario, Canada","Embedded Systems, Hardware, Mobile, Telecommunications, Wireless"
Cybereason,rejected,"Boston, Massachusetts, United States","Computer, Cyber Security, Enterprise Software, Intrusion Detection, Network Security, Real Time"
Overstock.com,live,"Salt Lake City, Utah, United States","Retail, Retail Technology"
Pandora,rejected,"Oakland, California, United States","Advertising, Broadcasting, Internet, Internet Radio, Music, Navigation, Software, Technical Support, Video Streaming"
Amazon,pending,"Seattle, Washington, United States","Crowdsourcing, Delivery, E-Commerce, Internet, Retail, Software"
Binance,approved,"Tokyo, Tokyo, Japan","Bitcoin, Cryptocurrency, Ethereum, Finance, FinTech, Internet"
DoubleDutch,approved,"San Francisco, California, United States","Enterprise Software, Event Management, Events, Marketing Automation, Mobile"
Lufax,approved,"Shanghai, Shanghai, China","Finance, Financial Services, Internet, Wealth Management"
HSBC,signed_up,"London, England, United Kingdom","Banking, Insurance, Retail, Security"
IP Group Plc,pending,"London, England, United Kingdom","Analytics, Financial Services, Intellectual Property, Venture Capital"
Amazon Pay (India),pending,"",""
Jam City,rejected,"Culver City, California, United States","Digital Entertainment, Gaming, Mobile, Mobile Apps, Online Games, Social Media"
Magazino,pending,"Munich, Bayern, Germany","Industrial Automation, Manufacturing, Robotics"
Infarm,pending,"Berlin, Berlin, Germany","Agriculture, AgTech, Farmers Market, Farming"
Yoox Net-a-Porter Group,live,"New York, New York, United States","Fashion, Lifestyle, Retail"
One97 Communication,rejected,"Noida, Uttar Pradesh, India","Internet, Mobile Advertising, Mobile Payments"
Sea Limited,live,"Singapore, Central Region, Singapore","Content Creators, E-Commerce, Messaging, Mobile, Payments"
Pure Storage,rejected,"Mountain View, California, United States","Cloud Computing, Data Storage, Enterprise Software"
HubHaus,live,"Los Altos, California, United States","Real Estate, Rental, Rental Property"
Banjo,approved,"Redwood City, California, United States","Apps, Artificial Intelligence, Content, Internet, Location Based Services, Machine Learning, Mobile, Real Time, Search Engine, Social Media"
TickX,pending,"Manchester, Manchester, United Kingdom","Events, Price Comparison, Ticketing"
The Walt Disney Company,live,"Burbank, California, United States","Animation, Broadcasting, Media and Entertainment, Video"
CommonSense Robotics,approved,"Tel Aviv, Tel Aviv, Israel","E-Commerce, Retail, Robotics, Supply Chain Management"
Odyssey,rejected,"Indianapolis, Indiana, United States","Journalism, News, Social Media"
Cabify,rejected,"Madrid, Madrid, Spain","Internet, Mobile, Ride Sharing, Transportation, Web Apps"
SeamlessDocs,rejected,"New York, New York, United States","Cloud Storage, Enterprise Software, Government, GovTech, Information Technology"
Conductor,pending,"New York, New York, United States","Content Marketing, Digital Media, SaaS, Search Engine, SEO"
Twitch,approved,"San Francisco, California, United States","Social Media, Video, Video Games, Video Streaming"
Rocket Lab,live,"Los Angeles, California, United States","Aerospace, Electronics, Industrial Manufacturing"
Radiology Partners,pending,"Manhattan Beach, California, United States",Health Care
Edgybees,approved,"Palo Alto, California, United States","Computer, Consumer, Software"
Hotelogix,live,"Noida, Uttar Pradesh, India","Enterprise Software, Hospitality, SaaS"
Juicero,live,"San Francisco, California, United States","Food and Beverage, Nutrition, Organic Food"
Ping An,pending,"China, Asia","Banking, Financial Services, Insurance"
oBike,approved,"Singapore, Asia","Recreation, Transportation, Travel"
Zenedge,pending,"Aventura, Florida, United States","Cloud Computing, Cyber Security, Enterprise Software, Network Security"
Motorola Solutions,signed_up,"Schaumburg, Illinois, United States","Communications Infrastructure, Cyber Security, Electronics, Information Technology, Mobile, Public Safety"
Namely,live,"New York, New York, United States","Enterprise Software, Human Resources, Management Information Systems, Software"
Rocket Internet,approved,"Berlin, Berlin, Germany","Developer Platform, Internet, Software"
Magicpin,pending,"Gurgaon, Haryana, India","E-Commerce, E-Commerce Platforms, Retail"
Megvii,signed_up,"Beijing, Beijing, China","Cloud Computing, Facial Recognition, Gaming, Mobile"
EQT,pending,"Stockholm, Stockholms Lan, Sweden","Business Development, Finance, Financial Services, Internet, Venture Capital"
Pine Labs,rejected,"Noida, Uttar Pradesh, India","Information Technology, Payments"
RigUp,pending,"Austin, Texas, United States","Energy, Marketplace, Software"
SolarCity,pending,"San Mateo, California, United States","Construction, Energy Efficiency, Renewable Energy, Solar"
Jamf,live,"Minneapolis, Minnesota, United States","iOS, macOS, Mobile Devices, Software"
Penske Media Corporation,rejected,"Los Angeles, California, United States","Digital Media, Journalism, Publishing"
Klarna,rejected,"Stockholm, Stockholms Lan, Sweden","Banking, E-Commerce, Finance, Financial Services, FinTech, Payments"
Patreon,signed_up,"San Francisco, California, United States","Music, Sponsorship, Video"
Instacart,rejected,"San Francisco, California, United States","Delivery, E-Commerce, Grocery, Same Day Delivery"
Essential,pending,"Palo Alto, California, United States","Consumer Electronics, Mobile Devices, Smart Home"
INRIX,pending,"Kirkland, Washington, United States","Analytics, Big Data, Internet of Things, Mobile Apps, Transportation"
FSAstore.com,pending,"New York, New York, United States","E-Commerce, Medical, Shopping"
LevelUp,rejected,"Boston, Massachusetts, United States","CRM, Food and Beverage, Hospitality, Loyalty Programs, Mobile, Payments, Restaurants"
Behalf,pending,"New York, New York, United States","B2B, Finance, FinTech, Internet of Things, Payments"
Kong,rejected,"San Francisco, California, United States","Cloud Computing, Cloud Data Services, Developer APIs, Developer Platform, Enterprise Software, Information Services"
GetSwift,pending,"Melbourne, Victoria, Australia","Delivery, Productivity Tools, Real Time, Task Management"
Ninjacart,signed_up,"Bengaluru, Karnataka, India","AgTech, B2B, Supply Chain Management"
xMatters,approved,"San Ramon, California, United States","Communications Infrastructure, Enterprise Software, IT Management"
Intuit,live,"Mountain View, California, United States","Accounting, Consumer, Financial Services, PaaS"
Barnes & Noble,signed_up,"New York, New York, United States","E-Commerce, Internet, Retail"
Wellthy Therapeutics Pvt Ltd,live,"Mumbai, Maharashtra, India","Health Care, Hospital"
Allscripts,rejected,"Chicago, Illinois, United States","Enterprise Software, Health Care, Information Technology"
Coin,signed_up,"San Francisco, California, United States","Consumer Electronics, FinTech, Hardware, Mobile, Payments"
Dynamic Signal,pending,"San Bruno, California, United States","Content, Human Resources, Information Technology, Mobile Apps, SaaS, Social Media Marketing"
nCino,pending,"Wilmington, North Carolina, United States","Banking, Document Management, Enterprise Software, Finance, FinTech"
Future Finance,rejected,"Dublin, Dublin, Ireland","Education, Finance, Financial Exchanges, Financial Services"
Asana,pending,"San Francisco, California, United States","Collaboration, Enterprise Software, Mobile Apps, Task Management"
Kidaptive,rejected,"Mountain View, California, United States","Big Data, EdTech, Education, Machine Learning, Personalization"
Nazara Technologies,live,"Mumbai, Maharashtra, India","Gaming, Mobile, Mobile Apps, Video Games"
Havven,pending,"Sydney, New South Wales, Australia",Banking
Dialpad,live,"San Francisco, California, United States","Meeting Software, Mobile, Mobile Apps, Software, Telecommunications, Unified Communications, Web Development"
Foodpanda,signed_up,"Berlin, Berlin, Germany","Delivery, Food Delivery, Internet, Mobile Apps"
Iterable,signed_up,"San Francisco, California, United States","Email Marketing, Enterprise Software, Internet, Marketing Automation, Mobile"
Vividion Therapeutics,signed_up,"San Diego, California, United States","Biotechnology, Health Care, Therapeutics"
Zenefits,rejected,"San Francisco, California, United States","Human Resources, SaaS, Software"
RedLock,live,"Menlo Park, California, United States","Cloud Data Services, Cyber Security, Network Security, Software"
Virtualitics,live,"Pasadena, California, United States","Augmented Reality, Data Visualization, Machine Learning, Natural Language Processing, Software, Virtual Reality"
Health IQ,signed_up,"Mountain View, California, United States","Biotechnology, Health Care, Life Insurance, Pharmaceutical"
Harry's,pending,"New York, New York, United States","E-Commerce, Fashion, Lifestyle, Price Comparison"
"Trizic, Inc.",signed_up,"San Francisco, California, United States","Software, Wealth Management"
LOLA,rejected,"New York, New York, United States","Consumer, Shopping, Women's"
Adaptive Insights,rejected,"Palo Alto, California, United States","Analytics, Business Intelligence, Cloud Computing, Data Visualization, Enterprise Software, Finance, SaaS"
Glooko,live,"Palo Alto, California, United States","Analytics, Diabetes, Health Care, mHealth, Mobile Apps"
Happay,pending,"Whitefield, Karnataka, India","Financial Services, FinTech, SaaS, Software"
Duetto,signed_up,"San Francisco, California, United States","Big Data, Business Intelligence, Cloud Computing, Hospitality, News, Price Comparison, SaaS, Travel"
Voicera,live,"Menlo Park, California, United States","Artificial Intelligence, Collaboration, Virtual Assistant"
Seamless,rejected,"New York, New York, United States","Delivery, E-Commerce, Internet, Local, Location Based Services, Mobile, Restaurants"
Zylo,rejected,"Indianapolis, Indiana, United States","Enterprise Software, SaaS"
C2FO,approved,"Leawood, Kansas, United States","B2B, Enterprise Software, Marketplace, Payments"
OpenX,approved,"Pasadena, California, United States","Advertising, Enterprise Software, Internet"
Payfone,live,"New York, New York, United States","Call Center, Identity Management, Mobile, Software, Wireless"
Nomad Health,rejected,"New York, New York, United States","Health Care, Hospital, Marketplace, Recruiting"
Eight,rejected,"New York, New York, United States","Consumer Electronics, Health Care, Innovation Management"
Pantheon,live,"San Francisco, California, United States","Content, Enterprise Software, Web Development"
Tipalti,signed_up,"San Mateo, California, United States","Ad Network, Crowdsourcing, Digital Media, E-Commerce, ERP, FinTech, Marketplace, Payments, Sharing Economy"
Anagog,approved,"Tel Aviv, Tel Aviv, Israel","App Marketing, Artificial Intelligence, Automotive, Business Intelligence, Internet of Things, Location Based Services, Mobile, Mobile Apps, Navigation, Parking, Retail Technology, Transportation"
Meituan-Dianping,live,"Shanghai, Shanghai, China","Advertising, Apps, Guides, Information Services, Internet, Local Business"
"MapR Technologies, Inc.",pending,"Santa Clara, California, United States","Analytics, Big Data, Cloud Computing, Enterprise Software, Open Source, Software"
FanDuel,live,"New York, New York, United States","Fantasy Sports, Gaming, Sports"
Bitt,live,"Hastings, Christ Church, Barbados","Bitcoin, FinTech, Virtual Currency"
Yext,signed_up,"New York, New York, United States","Cloud Data Services, Internet, Local, Mobile, SaaS, Software"
Tunity,approved,"New York, New York, United States",Apps
Blueprint Income,signed_up,"New York, New York, United States","FinTech, InsurTech, Retirement"
KFC,rejected,"Louisville, Kentucky, United States","Food and Beverage, Restaurants, Retail"
Gigya,pending,"Mountain View, California, United States","Computer, Enterprise Software, Identity Management"
Juniper Networks,pending,"Sunnyvale, California, United States","Communication Hardware, Infrastructure, Security"
ForgeRock,signed_up,"San Francisco, California, United States","Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy"
Databricks,pending,"San Francisco, California, United States","Analytics, Enterprise Software, Open Source"
Valeant Pharmaceuticals International,signed_up,"Aliso Viejo, California, United States","Biotechnology, Health Care, Medical, Pharmaceutical"
Hortonworks,signed_up,"Santa Clara, California, United States","Big Data, Enterprise Software, Software"
Code.org,approved,"Seattle, Washington, United States","Chemical Engineering, EdTech, Education, Non Profit, STEM Education"
letgo,rejected,"New York, New York, United States","Apps, E-Commerce, Internet, Marketplace, Shopping"
Moderna Therapeutics,live,"Cambridge, Massachusetts, United States","Biotechnology, Genetics, Health Care, Medical"
Outbrain,approved,"New York, New York, United States","Content Discovery, Content Marketing, Digital Marketing, Internet"
AppDirect,pending,"San Francisco, California, United States","Apps, Enterprise Software, IaaS, Internet, PaaS, SaaS"
Cleveland Clinic,rejected,"Cleveland, Ohio, United States","Health Care, Hospital, Non Profit"
NGD Systems,pending,"Irvine, California, United States","Big Data, Cloud Storage, Computer, Data Storage, Flash Storage"
MobileIron,signed_up,"Mountain View, California, United States","Apps, Mobile, Mobile Apps, Mobile Devices, SaaS, Security"
General Dynamics,pending,"Falls Church, Virginia, United States","Aerospace, National Security, Public Transportation"
Angie's List,approved,"Indianapolis, Indiana, United States","Advertising, E-Commerce, Local"
Colu,signed_up,"Tel Aviv, Tel Aviv, Israel","Bitcoin, Blockchain, Cryptocurrency, Developer APIs, FinTech, Local Business, Local Shopping, Payments"
Mobileye,pending,"Amstelveen, Noord-Holland, The Netherlands","Analytics, Automotive, Fleet Management, Transportation"
DecaWave,live,"Dublin, Dublin, Ireland","Electronics, RFID, Semiconductor"
Whispir,approved,"Melbourne, Victoria, Australia","Content Creators, SaaS, Software"
Meizu,pending,"Zhuhai, Guangdong, China","Android, Consumer Electronics, E-Commerce, Hardware, Mobile"
WorldRemit,approved,"London, England, United Kingdom","Finance, Financial Services, Payments"
Herbalife Ltd,signed_up,"Gurgaon, Haryana, India",Health Care
Vectorious Medical Technologies,approved,"Tel Aviv, Tel Aviv, Israel","Information Technology, Medical, Wireless"
Myntra,pending,"Bangalore, Karnataka, India","E-Commerce, Fashion, Internet, Shopping"
Pepperfry.com,live,"Mumbai, Maharashtra, India","E-Commerce, Furniture, Shopping"
Zagster,live,"Cambridge, Massachusetts, United States","Marketplace, Public Transportation, Transportation"
Memphis Meats,pending,"San Francisco, California, United States","Food and Beverage, Food Processing, Organic Food"
Zumper,signed_up,"San Francisco, California, United States","B2B, Property Management, Real Estate, Rental"
Mixmax,signed_up,"San Francisco, California, United States","Email, Internet, SaaS, Software"
Chegg,signed_up,"Santa Clara, California, United States","E-Commerce, Education, Higher Education, Textbook"
Stockpile,rejected,"San Francisco, California, United States","Consumer Software, Financial Services, Gift Card, Retail"
SmartAsset,rejected,"New York, New York, United States","Analytics, Finance, Personal Finance"
Peach,rejected,"Seattle, Washington, United States","Delivery, Food and Beverage, Restaurants"
Airsorted,pending,"London, England, United Kingdom","Hospitality, Information Technology, Real Estate"
Turo,pending,"San Francisco, California, United States","Car Sharing, Marketplace, Peer to Peer, Transportation"
WalkMe,live,"San Francisco, California, United States","Analytics, Customer Service, Enterprise Software, Guides, Internet, Mobile, Product Design, Product Management, SaaS, UX Design"
Current,signed_up,"New York, New York, United States","Finance, Financial Services, FinTech"
Signal Foundation,live,"San Francisco, California, United States","Apps, Cyber Security, Messaging, Mobile Apps, Open Source"
Snap Inc.,rejected,"Venice, California, United States","Apps, Messaging, Mobile, Photography"
GitHub,signed_up,"San Francisco, California, United States","Cloud Computing, Developer Tools, Internet, Project Management, Software"
Credit Suisse,approved,"Zürich, Zurich, Switzerland","Banking, Financial Services, Wealth Management"
SalesLoft,signed_up,"Atlanta, Georgia, United States","B2B, Email, Internet, Lead Generation, SaaS, Sales Automation, Software"
Fasten,approved,"Boston, Massachusetts, United States","Internet, Mobile Apps, Ride Sharing, Transportation"
Qualcomm,pending,"San Diego, California, United States","Manufacturing, Mobile, Telecommunications, Wireless"
Afiniti,pending,"Washington, District of Columbia, United States","Analytics, Artificial Intelligence, Big Data, Customer Service, Enterprise Software"
Egnyte,pending,"Mountain View, California, United States","Cloud Computing, Collaboration, Computer, Enterprise Software, File Sharing"
WayRay,rejected,"Lausanne, Vaud, Switzerland","Augmented Reality, Automotive, Consumer Electronics, Electronics, Navigation"
Getaround,pending,"San Francisco, California, United States","Car Sharing, Collaborative Consumption, Mobile, Transportation"
Aurora,approved,"Palo Alto, California, United States","Automotive, Autonomous Vehicles, Marine Transportation, Transportation"
Medopad,rejected,"London, England, United Kingdom","Apps, Artificial Intelligence, Big Data, Enterprise Software, Internet of Things, mHealth, Mobile"
Artsy,pending,"New York, New York, United States","Art, Content Discovery, Internet"
N26,rejected,"Berlin, Berlin, Germany","Banking, Finance, Financial Services, FinTech, Personal Finance, Product Design, Software, Software Engineering"
Spotahome,signed_up,"Madrid, Madrid, Spain","Real Estate, Rental, Reservations"
Affirm,live,"San Francisco, California, United States","Consumer Lending, Financial Services, FinTech, Payments, Personal Finance"
CreditEase,signed_up,"Beijing, Beijing, China","Consulting, Finance, Financial Services, Wealth Management"
FreshBooks,rejected,"Toronto, Ontario, Canada","Accounting, Billing, FinTech, Payments, Small and Medium Businesses"
Volvo Cars Group,approved,"Sweden, Europe","Automotive, Mobile, Transportation"
Nest Labs,pending,"Palo Alto, California, United States","Manufacturing, Sensor, Smart Home"
Smartcar,rejected,"Mountain View, California, United States","Apps, Automotive, Software"
Overtime,signed_up,"Brooklyn, New York, United States","Digital Media, Sports"
Personal Capital,live,"San Carlos, California, United States","Finance, Financial Services, FinTech, Wealth Management"
ContentSquare,approved,"Paris, Ile-de-France, France","E-Commerce, Internet, SaaS, Web Design"
Club Factory,rejected,"Hangzhou, Zhejiang, China",""
Nokia,approved,"Helsinki, Southern Finland, Finland","Enterprise Software, Mobile, Telecommunications"
Zuora,approved,"San Mateo, California, United States","Billing, Internet, SaaS, Subscription Service"
Senic,live,"Menlo Park, California, United States","Hardware, Internet of Things, Software"
DraftKings,approved,"Boston, Massachusetts, United States","Fantasy Sports, Online Games, Sports"
SeedInvest,approved,"New York, New York, United States","Association, Crowdfunding, Funding Platform, Venture Capital"
Donuts,rejected,"Bellevue, Washington, United States","Domain Registrar, Enterprise Software, Information Technology, Internet, Web Browsers"
Interior Define,approved,"Chicago, Illinois, United States","E-Commerce, Furniture"
Evergage,live,"Somerville, Massachusetts, United States","A/B Testing, Analytics, Big Data, E-Commerce, Personalization, SaaS, Software"
Haier,rejected,"New Delhi, Delhi, India","Consumer Electronics, Electronics, Smart Home"
Coinsquare,signed_up,"Toronto, Ontario, Canada","Bitcoin, Financial Services, FinTech, Trading Platform"
Luminoso,live,"Cambridge, Massachusetts, United States","Advertising, Artificial Intelligence, Machine Learning"
Qualia,rejected,"San Francisco, California, United States","Enterprise Software, Real Estate"
Honest Buildings,live,"New York, New York, United States","Commercial Real Estate, Construction"
Thrive Global,approved,"New York, New York, United States","Apps, Corporate Training, E-Commerce, Fitness, Health Care, Media and Entertainment, Personal Health, Productivity Tools, Wellness"
RingCentral,live,"Belmont, California, United States","Cloud Computing, Collaboration, Enterprise Software, Meeting Software, Messaging, Mobile, SaaS, VoIP"
The Motley Fool,signed_up,"Alexandria, Virginia, United States","Advertising, Consulting, Financial Services, Marketing, News, Publishing"
"TargetSpot, Inc.",rejected,"New York, New York, United States","Ad Network, Advertising, Digital Media, Music"
Rappi,approved,"Bogotá, Distrito Especial, Colombia","Food Delivery, Grocery, Marketplace, Restaurants"
Octiv,live,"Indianapolis, Indiana, United States","CRM, Delivery, Document Management, Enterprise Software, Media and Entertainment, SaaS, Sales Automation, Software"
Reonomy,signed_up,"New York, New York, United States","Analytics, Commercial Real Estate, Real Estate"
Quikr,live,"Mumbai, Maharashtra, India","Classifieds, Internet, Rental Property"
Upskill (formerly APX Labs),live,"Herndon, Virginia, United States","Augmented Reality, Internet of Things, Software, Wearables"
TuneIn,approved,"San Francisco, California, United States","Internet Radio, Mobile, Music, News"
China Unicom,live,"Beijing, Beijing, China","Mobile, Telecommunications, Wireless"
Outdoorsy,rejected,"San Francisco, California, United States","Internet, Marketplace, Peer to Peer"
Seeking Alpha,live,"New York, New York, United States","Finance, Professional Services, Stock Exchanges"
Comcast,signed_up,"Philadelphia, Pennsylvania, United States","Social Media, Video, Web Hosting"
Morphisec,pending,"Be'er Sheva, HaDarom, Israel","Cyber Security, Enterprise Software, Network Security"
Netsparker,signed_up,"Pinner, Harrow, United Kingdom","Security, Software, Web Apps"
DuPont,approved,"Wilmington, Delaware, United States","Advanced Materials, Agriculture, Innovation Management"
Veem,rejected,"San Francisco, California, United States","Bitcoin, FinTech, Information Technology, Payments"
Kallyope,pending,"New York, New York, United States","Biotechnology, Medical, Pharmaceutical"
Future Mobility,live,"Nanjing, Jiangsu, China","Autonomous Vehicles, Electric Vehicle, Manufacturing"
First Solar,live,"Tempe, Arizona, United States","Clean Energy, Manufacturing, Solar"
Aurora Cannabis,pending,"Vancouver, British Columbia, Canada",Pharmaceutical
Yammer,pending,"San Francisco, California, United States","Collaboration, Enterprise Software, Messaging, Social Network"
Global Eagle Entertainment,approved,"Westlake Village, California, United States","Aerospace, Content, Information Services"
Vonage,approved,"Holmdel, New Jersey, United States","Messaging, Mobile, Telecommunications"
Shipt,live,"Birmingham, Alabama, United States","Delivery, E-Commerce, Grocery, Same Day Delivery"
XebiaLabs,approved,"Boston, Massachusetts, United States","Developer Tools, Enterprise Software, Software"
Kaiser Permanente,approved,"Oakland, California, United States","Biotechnology, Health Diagnostics"
Influential,pending,"Las Vegas, Nevada, United States","Advertising, Artificial Intelligence, Content, Information Technology, Marketing"
TactoTek,rejected,"Oulu, Oulu, Finland","3D Technology, Automotive, Electronics, Internet of Things, Lighting, Product Design"
Soho,pending,"Singapore, Asia","Property Development, Property Management, Real Estate"
Boxed,rejected,"New York, New York, United States","Apps, E-Commerce, Grocery, Mobile, Shopping, Software, Wholesale"
Prelude Fertility,live,"Atlanta, Georgia, United States","Health Care, Hospitality, Women's"
TELUS,rejected,"Vancouver, British Columbia, Canada","Analytics, Internet, Mobile, Wireless"
Faction,signed_up,"Denver, Colorado, United States","IaaS, Information Services, Information Technology"
Propel(X),live,"San Francisco, California, United States","Finance, Financial Services, Funding Platform"
Huami,approved,"Beijing, Beijing, China","Fitness, Health Care, Internet of Things, Lifestyle, Wearables, Wellness"
Sigma,rejected,"San Francisco, California, United States","Collaboration, Digital Media, Employee Benefits"
Wildflower Health,rejected,"San Francisco, California, United States","Fitness, Health Care, Mobile"
Hulu,signed_up,"Los Angeles, California, United States","Content, Film, TV, Video"
Datos IO,approved,"San Jose, California, United States","Big Data, Cloud Computing, Cloud Data Services, Enterprise Software"
Glossier,rejected,"New York, New York, United States","Beauty, Fashion, Health Care"
Citigroup,pending,"New York, New York, United States","Banking, Credit Cards, Financial Services, Wealth Management"
Booker,pending,"New York, New York, United States","Association, E-Commerce, Enterprise Software, Mobile, SaaS, Web Development"
Apptio,live,"Bellevue, Washington, United States","Enterprise Software, Information Technology, SaaS"
Agent IQ,approved,"San Francisco, California, United States","Artificial Intelligence, Customer Service, Enterprise Software, Information Services, Information Technology, Machine Learning"
Nextdoor,pending,"San Francisco, California, United States","Communities, GovTech, Internet, Privacy, Private Social Networking, Social Media"
Sunrise,pending,"Paris, Ile-de-France, France","Apps, Email, Events, Mobile"
